,Responsiveness,participation and partnership,accountability
516,0,0,0
517,0.75,0,1
518,1,1,1
519,1,1,1
520,0.75,0,1
521,1,1,1
522,0.5,1,-0.5
523,1,1,1
524,1,1,1
525,1,1,1
526,1,1,1
527,0,1,0.5
528,-1,-1,-0.5
529,-0.75,0,-1
530,1,1,1
531,-0.75,0,-1
532,1,1,1
533,0,-1,-1
534,0.5,-1,1
536,0.75,0,1
537,-0.25,0,1
538,1,1,1
539,1,1,1
540,0.5,1,-1
541,0.5,-1,-1
542,-1,-1,-1
544,-0.5,-1,1
545,-0.5,1,0
546,1,1,1
547,1,1,1
548,1,1,1
549,1,1,1
550,1,1,1
551,1,1,1
552,1,1,1
553,1,1,1
554,-0.5,1,-1
555,1,1,1
557,1,1,1
561,0.5,1,1
562,1.25,0,0.5
563,0.5,1,1
564,1.5,-1,1
565,1.25,1,1
566,1.25,-1,0
567,0.5,1,1
569,1.25,1,0
570,1.25,-1,1
572,1,1,1.5
573,1.75,1,1.5
575,1.5,1,-0.5
576,1.25,1,1
577,0.75,0,1
578,1.25,0,1
579,1.5,2,1
580,1.25,2,1
581,1.25,0,-1
582,-0.25,1,-1
583,1,1,1
584,0.75,1,0
585,2,1,1
586,1.75,1,1
587,1,1,2
588,1,2,1
589,1.5,0,1.5
590,1.25,1,1
591,1,1,-1.5
592,-1.25,0,-1
593,1.75,1,1
594,1.5,1,1
595,1.25,0,0
596,1.25,1,-0.5
597,1.5,0,0
598,1,1,1
599,1.25,1,0
600,0.75,0,0
601,1.75,1,2
602,1.25,0,1
603,1,1,1
604,-0.25,0,0.5
605,1.25,0,0
606,1.75,1,1.5
607,1,1,1
608,1.75,2,1.5
609,1,0,1
610,0,0,-1
611,1.5,0,0.5
612,1.5,0,1
613,1.75,0,1.5
614,1.75,0,1
615,1.5,2,1.5
616,0.5,1,-1
617,1,1,-1
618,1.5,0,1
619,1.75,0,-1.5
620,1.75,0,1
621,1.75,2,1
622,0.75,1,-1
623,0.75,1,0.5
624,1.5,0,0
625,1.25,1,0
626,1.25,1,1
627,1.5,2,1
628,0.5,2,1.5
629,1.5,1,0
630,1,1,1
631,1.75,1,1
632,1.5,2,0
633,1.25,1,0
634,0.25,1,-1
635,0.25,2,0
636,-0.75,2,-0.5
637,1.5,2,1.5
638,0.5,1,1
639,1.25,2,0
640,1.75,2,0
641,0,0,1
642,-1,-1,-1
643,1,1,-1
644,1.5,1,2
645,-0.5,0,1
646,0,1,0
647,0.25,0,-1
648,1.5,1,1
649,1.25,1,1.5
650,1.75,2,1
651,1.25,2,1
652,1,1,0
653,1.5,1,0.5
654,2,2,2
655,1.25,1,0
656,1.25,1,1.5
657,1,2,0
658,1,1,1
659,0.75,2,0
660,1.5,2,2
661,1,1,1
662,-0.75,2,-1
663,1.5,1,-1
664,1.75,0,2
666,1.75,0,2
669,1.25,2,1
670,1.25,0,1.5
672,1.75,1,1
673,1.25,1,1.5
677,1,0,1
678,1,0,1
679,2,-2,1.5
680,0.25,-1,-0.5
681,1,0,0.5
682,-1,-2,0
683,1.75,0,1.5
684,1.5,0,1.5
685,0,-2,-0.5
686,1.25,1,1
687,1.25,0,1
690,1,-2,1
691,1,0,1
693,0.75,0,1
694,1,0,1.5
696,1.5,1,0
697,0.75,0,1
698,1.75,1,1
699,0.75,-2,0
701,1.5,-2,0.5
703,1,-2,1
704,-0.25,-2,-1
705,0.75,0,1
706,1.25,1,2
707,1.5,1,1.5
713,1.5,-2,1.5
714,1,1,1.5
716,1.25,-2,1.5
718,0.75,-2,2
719,1,0,2
720,1,-2,2
722,1,0,2
723,0.25,1,1
724,1.25,-2,1.5
725,0.25,-2,1.5
726,0.75,1,1
727,1.25,-2,1.5
728,0.75,1,2
729,1.25,-2,1.5
730,1.75,1,1.5
732,1.25,-2,2
733,1.25,0,1.5
734,1.5,-2,2
735,1.5,1,2
737,1.25,2,2
738,1.5,-2,2
739,1.5,2,2
740,1.25,1,2
741,1.25,1,2
743,1.5,-2,2
746,1.75,1,2
747,1.5,2,2
748,1.25,1,1.5
749,1.75,1,1.5
750,1.25,1,1.5
751,1.25,0,1.5
752,1.25,-2,1.5
755,1.25,-2,2
756,0.75,0,0.5
757,0.5,0,1.5
758,1,0,2
759,1.25,0,2
760,1,-2,2
762,1.75,1,2
763,1,1,1.5
764,0.5,1,2
765,1.5,1,2
766,1,1,2
767,1.5,1,2
768,1.25,2,2
769,1.25,1,2
770,1.75,1,2
771,1.5,1,2
772,1.25,1,2
773,1.25,1,2
774,0.75,1,2
775,0,0,0.5
776,-0.5,0,0
777,1,-1,-0.5
778,0.75,0,0.5
779,1,-1,-1
780,0.5,0,0
781,0.5,-1,0
782,0.5,0,0
784,0.25,-1,0
785,0,-1,-1
786,0.25,-1,0
787,0.5,0,1
788,1,-1,1
789,0,-1,0.5
790,-0.5,-1,-1
791,1,0,1
792,0.5,-1,1
793,0.5,0,0
794,0.75,0,0
795,1.5,1,1
796,1,0,1
797,0.5,1,-1
798,0.75,0,1
799,1,0,0
800,0,-1,-0.5
801,-0.25,-1,-0.5
802,1,-1,0
803,1,-1,1
804,0.75,1,1
805,1,1,0
806,1,0,0.5
807,-1,0,-1
808,1,0,0.5
809,0.5,0,0
810,1,0,0
811,1,1,1
812,1,1,0
813,1,-1,0
814,1,0,1
815,1,-1,0
816,1,-1,0
817,-1,-1,-1
818,0.75,0,1
819,1,1,0
820,0.25,-1,0
821,0.25,-1,0
822,1,-1,0
823,0.5,-1,0.5
824,1,-1,0
825,1,-1,1
826,1,1,0.5
827,1,-1,1
828,1,-1,1
829,1,1,1
830,1,1,1
831,0.75,-1,0.5
832,0.5,-1,1
833,1,-1,1
834,1,0,0
835,-0.5,-1,1
836,-0.5,-1,0
837,1,-1,0
838,1,-1,0
839,1,-1,1
840,0.5,-1,0
841,0.75,1,0.5
842,1,0,0.5
843,0.5,1,0
844,0.25,1,0.5
845,0.75,1,1
846,1,1,1
847,0.25,-1,0.5
848,0.5,-1,0.5
850,0.75,-1,1
851,-0.5,-1,-1
852,1,-1,0
854,-0.5,1,-1
855,1,-1,1
856,-0.25,1,-1
857,0.75,-1,-0.5
858,0.5,-1,1
859,0.5,-1,-1
860,1,-1,0.5
861,1,-1,1
862,1.25,-1,1
863,0.25,-1,0.5
864,1,-1,1
865,1,-1,1
866,1,-1,0
867,1,1,1
868,1,-1,1
869,-0.5,-1,-1
870,0.75,-1,0.5
871,1,-1,1
872,1,-1,0
873,1,-1,1
874,1,-1,1
875,1,-1,1
876,1,-1,1
877,1,-1,1
878,1,-1,1
879,1,1,1
880,0.75,-1,0.5
881,1,1,1
883,1,1,1
884,1.25,1,1
885,1,-1,1
886,1,1,1
887,1,1,1
888,1,-1,1
891,1,-1,1
892,1,1,1
893,1,-1,1
894,1,-1,1
895,1,1,1
896,1,-1,1
897,1,-1,0
898,1,1,1
899,1,-1,1
900,1,-1,1
901,0.5,-1,1
902,1,-1,1
903,1,-1,1
904,1,-1,1
905,-0.5,-1,0
906,-1,-1,0
907,1,-1,1
908,0.5,-1,1
909,0.5,1,1
910,1,-1,1
912,1,1,1
913,1,-1,1
914,1,-1,0
915,1,-1,1
916,-1,-1,-1
918,1,-1,0
919,0.5,-1,1
920,1,-1,0
921,0.5,-1,1
923,0.5,-1,1
924,1,0,2
927,0.25,1,0
928,1.25,0,0.5
930,0.5,-1,1
932,0.5,-1,1
933,1,-1,1
934,1,-1,1.5
935,1,-1,1
937,-1,1,-1
938,-0.5,1,-1
939,1,-1,0
940,0.5,-1,1
941,1,-1,0
942,1,0,1
943,0.5,1,1
944,0.5,1,-1
945,0,-1,0
946,1,1,1
947,0.5,1,0
948,1,1,1
950,1,-1,0
951,1.5,1,2
952,1,-1,-1
953,0,-1,-1
955,1,-1,-1
957,1,-1,1
958,1,-1,-1
959,1,1,1
960,1,1,1
961,1,1,1
962,1,1,0
963,0.5,-1,0
964,1,-1,0
966,1,-1,1
967,0,1,1
968,1,1,1
969,1,1,1
970,1,1,1
972,1,-1,1
973,1,-1,1
974,0,1,0
976,0.5,-1,1
978,1,-1,0
979,0.5,1,1
980,1,1,1
981,1,1,1
982,0.5,1,1
983,1,-1,1
985,0.5,1,1
986,1,1,1
987,1,1,1
988,1,1,1
989,1,1,0
991,1.25,1,1.5
992,-0.25,-2,-2
993,1.25,-2,0
994,1.5,-2,2
995,1,1,1
996,2,0,2
997,0.5,0,-0.5
998,1.5,-2,1
999,0.5,-2,-1
1000,-1,-2,-1
1001,1.75,1,1
1002,1,-2,-1
1003,1,-2,1
1005,1.5,2,1.5
1006,-1,1,-1.5
1007,-1,-2,-1
1008,0.25,2,1
1009,1.5,-1,1
1010,1,-1,0
1011,0,0,0
1012,1,0,1
1013,0,1,1
1014,1,0,1
1015,1,1,1
1017,1.75,0,2
1018,1,1,1
1020,0,1,2
1021,1.25,1,2
1022,1,1,1
1023,1,1,1
1024,1,-1,1
1025,2,-1,2
1026,1.75,-2,2
1027,2,1,2
1028,0,1,1
1029,1.75,0,2
1030,1.25,-2,2
1031,1.75,-2,2
1032,1.75,-1,1
1033,-1,0,-1
1034,1,-2,1
1035,0.75,-1,1
1036,1,-2,1
1037,2,1,2
1038,1.75,-2,2
1039,-1.25,-2,-2
1040,1,0,1
1041,1,-2,1
1042,1.75,0,1
1043,1.75,2,1
1044,0.5,-1,1.5
1045,0.25,-2,1.5
1046,0.25,1,-2
1047,1.75,-1,1.5
1048,1.75,0,0.5
1049,1.25,0,0
1050,1,-1,-1
1051,1,-1,0
1052,0,0,0
1053,1,-1,2
1054,-1,-2,-1
1055,0,-1,-1
1056,1,-2,0.5
1058,1,0,-1
1059,1.5,1,1.5
1060,1,1,1
1061,0.5,-2,0.5
1062,0.75,-2,-1.5
1063,1.25,-2,1.5
1065,1,1,0.5
1067,1,1,0
1068,1,-2,1.5
1069,0.5,0,0
1070,1,1,1.5
1071,1,-2,0.5
1072,1,-1,1.5
1073,0.75,1,1
1074,0,1,-1
1075,1,1,0
1076,1.25,-2,1
1077,2,-2,2
1078,0.75,-2,2
1079,1.75,-2,2
1080,0.75,-2,2
1081,1.75,-2,2
1082,0.5,-2,2
1083,0,1,0
1084,1,0,0.5
1085,-0.5,-2,0
1086,1.75,-2,2
1087,1,-2,0.5
1088,1.25,-2,2
1089,1.25,0,1
1090,1.75,-2,0
1091,1.25,-2,2
1092,0.5,-2,-1
1093,1,-2,1
1094,1.75,-2,2
1095,1.25,-2,1
